middle_date,cdu_csu,spd,gruene,fdp,linke,afd,fw,bsw,others
2021-09-28,22.885,24.505,16.246,11.375,5.977,10.762,2.642,,6.263
2021-10-05,22.276,25.160,16.210,11.805,5.710,10.526,2.683,,6.657
2021-10-12,21.662,25.709,16.112,12.396,5.472,10.371,2.683,,7.047
2021-10-19,21.107,26.033,16.131,12.770,5.303,10.458,2.683,,7.286
2021-10-26,20.915,26.085,16.266,13.159,5.184,10.469,2.683,,7.216
2021-11-02,20.939,26.104,16.183,13.293,5.078,10.454,2.775,,7.296
2021-11-09,21.079,26.134,16.029,13.503,5.110,10.300,2.775,,7.412
2021-11-16,21.109,26.041,16.076,13.274,5.163,10.452,2.775,,7.559
2021-11-23,21.354,25.764,16.056,12.987,5.258,10.649,2.430,,7.581
2021-11-30,21.261,25.733,16.184,12.889,5.290,10.762,2.430,,7.647
2021-12-07,21.315,25.845,16.039,12.730,5.258,10.835,2.685,,7.631
2021-12-14,21.740,26.132,15.863,12.407,5.240,10.764,2.416,,7.582
2021-12-21,21.913,26.283,15.711,12.234,5.220,10.786,2.416,,7.635
2021-12-28,21.978,26.385,15.669,12.160,5.207,10.799,2.416,,7.597
2022-01-04,22.079,26.347,15.701,12.046,5.186,10.819,2.416,,7.637
2022-01-11,22.524,26.276,15.869,11.716,5.208,10.725,2.416,,7.555
2022-01-18,22.675,26.317,15.859,11.402,5.358,10.844,2.416,,7.467
2022-01-25,23.219,25.779,15.903,10.980,5.660,10.950,2.111,,7.395
2022-02-01,23.844,25.103,16.031,10.741,5.787,10.870,2.111,,7.549
2022-02-08,24.460,24.440,15.961,10.690,5.899,10.903,2.111,,7.589
2022-02-15,25.010,23.984,15.926,10.474,5.991,10.942,1.379,,7.523
2022-02-22,25.288,24.017,15.938,10.306,6.045,10.900,1.379,,7.403
2022-03-01,25.600,24.123,15.989,10.104,6.044,10.604,1.379,,7.464
2022-03-08,25.527,24.286,16.172,9.970,5.981,10.430,1.138,,7.472
2022-03-15,25.408,24.677,16.485,9.843,5.736,10.232,1.138,,7.505
2022-03-22,25.579,24.727,16.641,9.839,5.534,10.173,1.138,,7.421
2022-03-29,25.691,24.856,16.705,9.778,5.359,10.158,1.138,,7.389
2022-04-05,25.461,25.188,17.144,9.548,5.117,10.105,1.138,,7.391
2022-04-12,25.468,25.091,17.461,9.211,4.867,10.317,1.033,,7.504
2022-04-19,25.475,24.988,17.727,9.168,4.766,10.208,1.033,,7.603
2022-04-26,25.565,24.733,18.012,9.065,4.594,10.178,1.033,,7.809
2022-05-03,25.644,24.390,18.357,9.122,4.525,10.150,1.033,,7.778
2022-05-10,25.982,23.771,18.637,9.240,4.421,10.087,1.009,,7.724
2022-05-17,26.336,23.315,19.153,9.019,4.318,10.014,1.009,,7.749
2022-05-24,26.642,22.827,19.718,8.782,4.187,9.933,1.009,,7.839
2022-05-31,27.056,22.307,20.197,8.563,4.103,9.662,1.009,,8.063
2022-06-07,27.155,21.752,20.587,8.544,4.159,9.736,1.002,,8.030
2022-06-14,27.127,21.526,21.141,8.388,4.166,9.744,1.002,,7.883
2022-06-21,27.251,21.112,21.362,8.417,4.124,9.655,1.002,,8.060
2022-06-28,26.988,20.829,21.807,8.413,4.092,9.860,1.002,,7.996
2022-07-05,26.636,20.964,21.511,8.507,4.279,10.220,1.001,,7.828
2022-07-12,26.602,20.687,21.748,8.388,4.299,10.232,1.001,,8.000
2022-07-19,26.480,20.461,22.092,8.051,4.471,10.406,1.001,,8.008
2022-07-26,26.505,20.030,22.251,7.900,4.577,10.614,1.001,,8.100
2022-08-02,26.517,19.679,22.393,7.762,4.626,10.877,1.001,,8.129
2022-08-09,26.731,19.476,22.186,7.742,4.826,11.243,1.000,,7.784
2022-08-16,26.796,19.384,22.527,7.547,4.716,11.345,1.000,,7.676
2022-08-23,26.892,19.162,22.544,7.483,4.718,11.515,1.000,,7.679
2022-08-30,26.784,19.046,22.420,7.571,4.822,11.712,1.000,,7.639
2022-09-06,26.772,18.978,22.188,7.582,4.892,11.862,1.000,,7.722
2022-09-13,27.201,18.868,21.509,7.327,5.089,12.342,1.000,,7.554
2022-09-20,27.410,18.741,21.018,7.258,5.083,12.681,1.000,,7.730
2022-09-27,27.451,18.687,20.780,7.365,5.094,12.913,1.000,,7.649
2022-10-04,27.494,18.516,20.397,7.359,5.191,13.409,1.000,,7.593
2022-10-11,27.599,18.524,20.124,7.168,5.189,13.793,1.752,,7.462
2022-10-18,27.266,18.878,19.919,7.103,5.011,14.124,1.752,,7.591
2022-10-25,27.203,19.091,19.764,7.053,4.881,14.333,1.752,,7.600
2022-11-01,27.058,19.349,19.513,7.182,4.835,14.346,1.752,,7.662
2022-11-08,27.164,19.512,19.308,7.071,4.967,14.447,1.201,,7.499
2022-11-15,27.441,19.566,19.308,6.914,4.770,14.391,1.201,,7.596
2022-11-22,27.617,19.551,19.088,6.909,4.764,14.307,1.201,,7.758
